-,rsFC (fisher z),rsFC,rsFC,rsFC,BOLD (beta value),BOLD,BOLD,BOLD
subject,IPL TMS; L-Hippo,IPL TMS; R-Hippo,M1 TMS; L-Hippo,M1 TMS; R-Hippo,IPL TMS; L-Hippo,IPL TMS; R-Hippo,M1 TMS; L-Hippo,M1 TMS; R-Hippo
sub-2040,-0.148466754,-0.138386932,0.117761536,0.065410961,-0.2681928,0.020953944,0.43270126,0.18429784
sub-2043,0.160275848,0.067903782,0.204928603,0.240971923,-0.4578445,0.2364834,0.17070065,0.40352178
sub-2044,-0.29058872,-0.224813978,0.262928449,0.342758767,0.4156117,1.2543287,NaN,NaN
sub-2047,0.113776802,0.066159503,0.028257638,0.072825591,0.31442064,1.0912485,-3.2590308,-2.8403146
sub-2048,0.161206756,0.132313423,0.407920803,0.279243819,-0.25157958,0.14422034,0.17905128,0.34930056
sub-2053,-0.336399948,-0.253263875,0.179154998,0.247286908,NaN,NaN,0.23847337,0.1729968
sub-2062,-0.201062977,-0.080813281,0.369769311,0.46859262,0.50598484,0.36497453,0.6250066,1.2882167
sub-2064,-0.129049287,-0.125547233,-0.042552904,0.018556683,-0.42471266,-0.5064108,-0.5982762,-0.7870538
sub-2069,0.110555822,-0.023859787,0.312690678,0.533642735,NaN,NaN,-0.16868404,-0.13682789
sub-2070,0.001249194,-0.140738393,0.060383425,0.095435239,0.1712561,0.75945914,0.8249732,1.0284421
sub-2074,-0.113168571,-0.118585621,0.067093931,0.090729189,0.21396782,0.24760306,-0.9370511,-0.4357102
sub-2075,-0.430256794,-0.338892573,0.282354416,0.072974275,-0.50754654,-0.96741146,0.956707,1.2599196
sub-2076,0.090569976,0.059246077,0.160562172,0.358751014,-0.20479491,-0.38836497,0.8401056,0.96502817
sub-2079,0.116797207,0.062878679,0.434041792,0.454498181,-0.43706945,0.19594644,0.10348236,-0.17002705
sub-2083,0.000116036,-0.070036934,0.35239353,0.286646011,-0.5459621,-0.3768386,0.8947444,0.7541903
sub-2088,-0.244374792,-0.078191711,0.593855122,0.495709353,0.38911378,0.65404075,-0.043216906,-0.25301298
sub-2090,-0.175877319,-0.147636611,-0.072169037,-0.058556118,0.114621215,0.4858726,-0.19588934,-0.0585565
sub-2093,0.026443284,0.002641528,0.063759936,0.050952284,-0.34933138,-0.9556112,0.40558666,0.20708932
sub-2096,-0.300792779,-0.189573387,0.673459307,0.59023974,0.09095356,-0.24258442,0.343523,0.2518837
sub-2098,-0.120284494,0.009115635,0.105126569,-0.062447668,NaN,NaN,-1.3973329,-1.1063778
sub-2102,-0.554570849,-0.412756409,0.570211178,0.454416683,0.654171,0.1259922,-0.5461616,-0.43649244
sub-2103,-0.127747784,-0.105066486,0.155822831,0.167348458,1.337372,-0.50321615,-0.22891048,0.012319817
sub-2104,-0.001730387,-0.15725283,-0.006551166,0.08508532,-0.71987456,-0.45326376,-0.04364444,-0.41221762
sub-2105,-0.329585567,-0.210062249,0.232509953,0.229499762,-1.0946615,0.07347568,0.46222463,0.094949864

sub-2108,-0.079185122,-0.037441857,0.068095696,0.165245063,0.52875215,1.5692501,-0.36396942,-0.6793333
